id_cliente,tipo_cliente,nome_razao_social,cpf_cnpj,email,telefone,cidade,estado,cep,data_nascimento_fundacao,genero,profissao_segmento,renda_mensal_faturamento,data_cadastro
CLI0487,PF,VIVIANE HARDT,022.017.545-41,vivianehardt753@uol.com.br,41986888624,Vitória,ES,82796-321,29/03/2001,M,,49271,12.02.2020
CLI0241,PJ,Tau Serviços SA,07.986.321/0613-39,tauservicoss912@yahoo.com.br,(11)937696190,Cuiabá,MT,60930-837,,,Serviços,R$ 2644857,2024-05-19
CLI0500,PF,,814.051.325-17,lucaspereira336@outlook.com,+55 11 94645-4519,Vitória,ES,92232-694,01.01.2030,f,Economista,27541,21.11.2025
CLI0033,PJ,Logística Global Ltda,38578652785854,logísticaglo213@outlook.com,+55 61 99899-7220,Vitória,ES,20358,19.03.2015,,Indústria,1986321,19.11.2023
CLI0073,PF,Gustavo Araujo,299.228.092-02,gustavoarauj395@hotmail.com,(41)933813202,Belo Horizonte,MG,,1966-04-26,M,Advogado,24457,16/12/2025
CLI0370,PF,NATALIA TEIXEIRA,  691.716.204-29  ,nataliateixe408@yahoo.com.br,(21)970475414,Porto Alegre,RS,12533-321,02.03.1966,M,Técnico,2911,25.11.2020
CLI0053,PF,ALEXANDRE CUNHA,  670.662.532-44  ,alexandrecun353@uol.com.br,,Campo Grande,MS,71824-642,03-04-1997,F,Empresário,27067,2022-08-11
CLI0281,PF,LEANDRO FARIAS,798.213.486-29,leandrofaria122@outlook.com,(11) 97597-9134,Macapá,AP,10295-485,,F,Economista,37690,2020-12-11
CLI0248,PF,Alessandra Nunes,365.346.060-56,alessandranu476@yahoo.com.br,85973070505,Porto Alegre,RS,21925-808,06-10-1987,m,Designer,,03/11/2023
CLI0450,PF,Larissa Mendes,  395.612.667-83  ,larissamende697@gmail.com,81950022422,São Paulo,,39722-215,1956-03-05,Masculino,Designer,34390,18.12.2025
CLI0295,PJ,,31.805.339/6274-66,tauservicoss273@outlook.com,(21) 96088-6412,Natal,S.P,73655-782,18.01.1993,,Tecnologia,R$ 4500797,30/10/2022
CLI0191,PF,  Fernanda Martins  ,  509.889.864-56  ,sem email,85910894575,Manaus,AM,84863-536,1965-03-11,f,Técnico,R$ 17183,2025-11-03
CLI0280,PF,ALEXANDRE CUNHA,  178.170.321-19  ,sem email,+55 71 94874-8401,Fortaleza,CE,62213-581,11-29-1998,F,Médico,13055,03.08.2021
CLI0152,PJ,Tau Serviços SA,62630136749261,tauservicoss657@uol.com.br,(62)974987079,Belo Horizonte,MG,26414-201,11.10.2013,,Indústria,R$ 3833922,2026-01-10
CLI0470,PF,Simone Guimarães,88686562925,simoneguimar821@uol.com.br,(51) 95599-6332,Campinas,SP,93385-305,26/09/1976,Feminino,Vendedor,R$ 43886,05-10-2025
CLI0515,PF,Fábio Vieira,  999.528.502-31  ,fábiovieira322@yahoo.com.br,(81)925239904,Recife,PE,35501-528,06-24-1961,F,Engenheiro,R$ 42132,12-23-2022
CLI0373,PF,Rodrigo Castro,,rodrigocastr896@uol.com.br,,Campinas,SP,70265-416,05/03/1974,F,Designer,31119,2023-02-12
CLI0069,PF,Simone Guimarães,361.386.120-75,simoneguimar515@gmail.com,(51) 92417-5612,Belo Horizonte,MG,79922-325,01.01.2030,m,Engenheiro,,05-20-2024
CLI0254,PF,Maria Oliveira,195.419.666-45,mariaoliveir945@gmail.com,+55 11 98100-2279,Fortaleza,CE,77182-664,1985-10-26,f,Designer,R$ 10546,17/05/2025
CLI0432,PF,BRUNO RIBEIRO,404.315.668-51,brunoribeiro39@hotmail.com,(21)923801703,Porto Alegre,SP ,57947-628,08/03/1986,M,Administrador,33919,03.10.2024
CLI0178,PF,maria oliveira,77584745705,mariaoliveir898@uol.com.br,,Maceió,AL,78167-818,04.01.1958,m,Enfermeiro,19951,18.05.2021
CLI0345,PF,ISABELA DUARTE,  327.726.488-39  ,isabeladuart265@outlook.com,+55 51 94519-6842,Belém,PA,79327-849,,Feminino,,,26/04/2023
CLI0406,PF,Marcelo Azevedo,792.372.982-68,marceloazeve175@hotmail.com,61952720394,,SC,78786-589,19.03.1970,m,Contador,2869,06-30-2022
CLI0215,PF,Bruno Ribeiro,78606940960,brunoribeiro951@hotmail.com,,Goiânia,GO,67624-226,2030-01-01,F,,10344,16/03/2024
CLI0438,PF,DÉBORA PACHECO,589.290.930-43,deborapachec698@uol.com.br,+55 41 94322-8337,Belo Horizonte,MG.,22407-671,02.01.1973,Masculino,Jornalista,49042,05-26-2021
CLI0076,PF,Diego Sampaio,43937690426,diegosampaio694@hotmail.com,+55 71 91159-5314,Palmas,TO,98302-866,02.03.1991,F,,9619,2020-11-07
CLI0080,PF,Vinicius Moreira,  228.200.557-78  ,viniciusmore504@outlook.com,(71)935309568,São Paulo,SP,67292-504,10-25-1982,F,,10932,15.05.2024
CLI0489,PJ,Omicron Distribuidora ME,25918831249773,omicrondistr351@yahoo.com.br,(81) 99501-9116,Manaus,AM,63228-870,,,Saúde,2263279,2023-06-13
CLI0005,PF,Natalia Teixeira,430.980.500-97,nataliateixe308@outlook.com,21993370583,Fortaleza,CE,27361-457,2002-05-13,F,Administrador,R$ 48936,09-27-2022
CLI0273,PF,claudio queiroga,,claudioqueir729@uol.com.br,(81) 93027-9919,Salvador,,35950-604,1997-03-17,Feminino,Arquiteto,R$ 49739,07-16-2024
CLI0426,PF,ALEXANDRE CUNHA,619.019.333-59,alexandrecun832@hotmail.com,(51)961683321,João Pessoa,PB,80054-886,,Feminino,Arquiteto,41302,19.09.2023
CLI0334,PF,Tatiana Borges,764.871.775-46,tatianaborge937@uol.com.br,(31) 95053-8953,,PA,23071-233,1978-05-30,F,Técnico,24494,12/07/2020
CLI0102,PF,BRENDA PEIXOTO,067.198.554-60,brendapeixot316@outlook.com,(81)915746469,Palmas,TO,95701-783,17.04.1989,Feminino,,40859,2026-01-06
CLI0233,PF,Fernanda Martins,  767.209.579-92  ,fernandamart428@hotmail.com,+55 51 99526-1384,,SE,16817-764,1978-10-09,F,Economista,41505,06-09-2023
CLI0338,PJ,CONSTRUTORA CENTRAL SA,19623421926221,construtorac289@outlook.com,+55 62 98315-3513,Palmas,TO,79054-198,1990-12-10,,,1468141,2025-10-05
CLI0027,PF,Roberto Kramer,18888806706,robertokrame908@gmail.com,51982884346,Manaus,RRJ,16265-986,12-06-1992,f,Engenheiro,,24/01/2023
CLI0398,PF,Diego Sampaio,675.826.762-59,diegosampaio555@yahoo.com.br,+55 62 99291-8000,Florianópolis,SC,11862-987,08-04-2002,Feminino,Professor,47808,2022-04-30
CLI0341,PF,Gabriel Yazbek,  656.862.959-12  ,gabrielyazbe312@gmail.com,(62)951203973,São Luís,MA,56129-802,31.03.1962,f,Vendedor,33141,10.03.2023
CLI0257,PF,Natalia Teixeira,  662.670.551-43  ,nataliateixe53@gmail.com,11959226631,Porto Velho,RO,86397,,F,Empresário,8049,03/12/2020
CLI0061,PF,renata correia,  381.684.602-23  ,renatacorrei39@uol.com.br,61981274148,Natal,RN,55134-419,19.03.1964,M,Engenheiro,30423,04-20-2024
CLI0015,PF,juliana costa,  603.859.770-34  ,julianacosta250@outlook.com,+55 71 92143-5526,Natal,RN,76550-373,16.07.1960,F,Designer,35349,03-04-2023
CLI0401,PF,Claudio Queiroga,05166545122,claudioqueir904@uol.com.br,(51) 93521-4476,São Luís,MA,90145,09.12.1970,,,6163,2025-12-30
CLI0418,PF,Isabela Duarte,  793.014.811-60  ,isabeladuart761@yahoo.com.br,,Porto Alegre,RS,72659-679,28/06/1956,M,Professor,9994,28.01.2021
CLI0285,PJ,Epsilon Serviços Ltda,79720385934015,epsilonservi178@yahoo.com.br,(41)967210317,Salvador,BA,16002-116,1991-07-31,,Tecnologia,1001965,2022-12-24
CLI0040,PF,Isabela Duarte,862.118.233-98,isabeladuart942@gmail.com,(62) 98790-5441,Salvador,BA,51220-116,06/11/1950,,Jornalista,23710,13.08.2021
CLI0502,PJ,  Beta Soluções Ltda  ,11171960049021,betasolucões532@yahoo.com.br,(71) 96610-7128,Recife,PE,40688-468,08-11-2005,,Tecnologia,3647324,06/01/2020
CLI0114,PJ,Tecnologia Oeste Ltda,36749946579678,tecnologiaoe851@gmail.com,(11) 93934-7269,Fortaleza,S.P,96649-869,04-01-2014,,Transporte,4204893,09.07.2025
CLI0306,PF,LIGIA BERNARDES,878.848.699-96,ligiabernard852@uol.com.br,(62) 98365-3666,Fortaleza,CE,24775-761,13.01.1958,m,Empresário,R$ 26991,09/08/2025
CLI0165,PF,Fábio Vieira,  236.903.628-91  ,fábiovieira88@uol.com.br,(62) 98926-1748,Rio de Janeiro,RJ,47015-507,04-27-1975,,Professor,R$ 22258,12.07.2023
CLI0504,PF,Rosana Figueiredo,46463989701,rosanafiguei803@gmail.com,(11)919450698,Rio de Janeiro,S.P,43806-906,26.04.1961,M,Médico,42706,07/10/2025
CLI0284,PF,  Eduardo Ferreira  ,42867963259,eduardoferre604@hotmail.com,(41) 96625-9679,Curitiba,,61277-478,24.04.1980,Feminino,Advogado,24501,06-28-2025
CLI0313,PJ,Indústria Sul SA,09085510740913,indústriasul825@yahoo.com.br,+55 81 93755-1389,São Paulo,SP,51304-937,28/01/2004,,Saúde,3353943,02/01/2023
CLI0262,PF,BRUNO RIBEIRO,  505.661.863-23  ,brunoribeiro575@gmail.com,+55 81 91532-6194,Salvador,BA,23968,04.06.1983,,,R$ 22654,08-12-2020
CLI0218,PF,Cristina Pinto,382.231.164-91,emailerrado,(81)938834825,Palmas,TO,81549-550,17.07.1984,M,,,02-18-2023
CLI0454,PF,Larissa Mendes,76212360186,larissamende678@yahoo.com.br,62928201448,João Pessoa,PB,,11.03.1992,,Arquiteto,,02-09-2022
CLI0211,PF,Natalia Teixeira,399.771.805-13,nataliateixe505@hotmail.com,81996607967,São Luís,MA,98846-674,17/09/1989,F,Economista,R$ 31901,07/12/2024
CLI0129,PF,  Rodrigo Castro  ,894.346.810-54,nao informado,(81)964056687,São Luís,MA,86585-610,1996-08-15,M,Empresário,R$ 25676,07.12.2024
CLI0457,PF,Rosana Figueiredo,424.240.662-83,rosanafiguei967@uol.com.br,+55 85 98368-5407,Campo Grande,MS,12845-691,28/10/1972,m,Economista,R$ 20872,10-30-2021
CLI0037,PF,ROSANA FIGUEIREDO,  868.633.752-43  ,rosanafiguei613@yahoo.com.br,31965507111,João Pessoa,PB,65994-669,1969-06-29,f,Advogado,20957,11.11.2023
CLI0383,PF,Jorge Oliveira,884.302.178-16,jorgeoliveir306@gmail.com,(11) 94335-1509,Fortaleza,CE,62705-253,,M,Vendedor,9499,2024-08-25
CLI0191,PF,  Fernanda Martins  ,  509.889.864-56  ,sem email,85910894575,Manaus,AM,84863-536,1965-03-11,f,Técnico,R$ 17183,2025-11-03
CLI0266,PF,Aline Barbosa,737.203.763-88,alinebarbosa21@yahoo.com.br,(85) 97876-6591,São Paulo,SP,65685-357,17/11/1999,Masculino,Designer,13989,2023-01-18
CLI0359,PF,LUCAS PEREIRA,401.535.346-60,lucaspereira458@uol.com.br,+55 51 93305-1551,Cuiabá,MT,19178-608,10/06/1951,M,Empresário,47135,2023-08-23
CLI0420,PJ,Zeta Indústria ME,41.025.471/7989-94,zetaindústri644@yahoo.com.br,61959072728,Salvador,BA,34147-559,08-14-2001,,Indústria,R$ 1953091,19.12.2020
CLI0514,PJ,Epsilon Serviços Ltda,79.965.857/8375-68,emailerrado,(21) 98634-8629,Natal,RN,10342-603,12/08/1990,,Indústria,1929394,11.06.2022
CLI0047,PF,CARLOS SOUZA,77590175186,carlossouza956@yahoo.com.br,+55 61 93711-1848,Belém,PA,40689-539,,,Analista,47127,24/01/2021
CLI0060,PF,ROSANA FIGUEIREDO,41715454443,rosanafiguei898@uol.com.br,(21) 98713-3096,Curitiba,PR,,13.12.1969,F,Vendedor,46031,09-18-2024
CLI0050,PF,Gustavo Araujo,524.105.648-14,gustavoarauj732@outlook.com,(41) 97819-6241,Campo Grande,MS,77603-147,07/02/1951,,Analista,13728,09.10.2020
CLI0056,PF,PATRICIA ROCHA,599.706.296-20,patriciaroch119@yahoo.com.br,+55 81 99914-7349,Belo Horizonte,MG,58418-291,04.06.1976,M,Vendedor,3686,14.12.2022
CLI0303,PF,ANA LIMA,242.767.746-25,analima904@yahoo.com.br,,Curitiba,PR,24536-268,29.10.2002,M,Arquiteto,38623,12-05-2025
CLI0378,PF,Vinicius Moreira,336.109.441-64,viniciusmore336@yahoo.com.br,+55 85 99100-4093,Palmas,TO,15397-272,09-12-1968,M,Advogado,4949,16.06.2022
CLI0491,PF,nelson inocêncio,29335984742,sem email,+55 11 97661-2106,Florianópolis,SC,69193-615,02/09/1964,m,Economista,,08-23-2023
CLI0075,PF,Elaine Domingues,386.589.026-01,elainedoming716@hotmail.com,+55 11 91004-3579,Aracaju,SE,56285-785,09-22-1965,M,Professor,R$ 35957,31/03/2022
CLI0163,PF,Marcelo Azevedo,14754102252,marceloazeve547@outlook.com,41987975659,Campo Grande,MS,12248,02-20-1987,f,Advogado,44857,24.01.2024
CLI0125,PJ,ZETA INDÚSTRIA ME,03037236831472,zetaindústri207@yahoo.com.br,(71)965792417,Maceió,AL,88097-848,20.11.2011,,Varejo,3835161,06/04/2023
CLI0392,PF,Aline Barbosa,44708231714,emailerrado,(85) 97574-1793,Natal,RN,41287-544,,m,Arquiteto,R$ 37036,28/02/2024
CLI0192,PJ,Nu Transportes SA,28547815061853,nutransporte156@outlook.com,(81) 95630-3159,Manaus,AM,74315-671,21/09/2011,,Serviços,3255870,30/12/2021
CLI0505,PF,FÁBIO VIEIRA,846.990.867-23,fábiovieira394@gmail.com,(41)925618711,,PA,65516-618,30/07/1997,F,Médico,7348,27.09.2020
CLI0094,PF,Priscila Macedo,842.150.317-80,priscilamace592@yahoo.com.br,+55 41 95695-5532,Florianópolis,SC,97965-220,13/12/1953,,Engenheiro,5023,10-07-2021
CLI0108,PF,Priscila Macedo,856.955.798-87,priscilamace589@hotmail.com,61985495759,Salvador,MG.,80761-266,08-04-1975,M,Arquiteto,R$ 45670,12/05/2021
CLI0224,PJ,Omicron Distribuidora ME,25389218785193,omicrondistr449@outlook.com,(21)956654498,Rio de Janeiro,RJ,29382-165,12-25-1995,,Educação,1978744,09-24-2020
CLI0286,PF,LEANDRO FARIAS,  698.198.780-92  ,leandrofaria523@yahoo.com.br,+55 51 97913-6959,Natal,RN,26894-411,10.05.2002,Feminino,Vendedor,R$ 20319,01/05/2021
CLI0296,PF,Roberto Kramer,,robertokrame179@yahoo.com.br,(41) 99444-5736,Recife,PE,44617-269,09/04/1984,Masculino,Vendedor,5218,25/07/2021
CLI0517,PJ,Grupo Alfa SA,,grupoalfasa76@uol.com.br,41990029835,Campinas,SP,21146,2012-12-01,,Construção Civil,4089817,2021-10-15
CLI0290,PF,Rodrigo Castro,  529.883.220-12  ,rodrigocastr398@gmail.com,62971768981,Belém,PA,,23.01.1982,Feminino,Analista,R$ 4650,2021-09-03
CLI0014,PF,MARIA OLIVEIRA,421.024.994-71,mariaoliveir834@outlook.com,+55 81 96260-2713,João Pessoa,PB,74942-395,03-07-1974,M,Advogado,R$ 44697,28/06/2024
CLI0170,PF,Nelson Inocêncio,110.961.798-17,emailerrado,+55 11 97134-9502,Palmas,TO,84997-540,01-01-2030,m,Professor,R$ 19538,2024-05-22
CLI0136,PF,Tatiana Borges,  049.611.080-46  ,tatianaborge522@yahoo.com.br,81942635373,João Pessoa,PB,67127-625,12/06/1979,M,Médico,6426,01-05-2024
CLI0131,PJ,Lambda Foods Ltda,74.120.948/1813-98,lambdafoodsl282@hotmail.com,(62) 98278-2386,Curitiba,PR,13049-448,18/07/1997,,Saúde,256565,26/08/2024
CLI0471,PJ,Indústria Sul SA,51199764534965,indústriasul958@gmail.com,(11)924798481,Aracaju,SE,14933-187,04-16-2014,,Agronegócio,1036104,02.09.2023
CLI0183,PJ,  Logística Global Ltda  ,01759025176298,logísticaglo197@gmail.com,(21) 94334-1544,Teresina,PI,99438-847,2015-01-23,,Saúde,R$ 1991602,03.12.2025
CLI0346,PJ,Iota Consultoria ME,33.183.611/3389-26,iotaconsulto557@outlook.com,(51) 98123-4013,Palmas,TO,50072-518,29/04/2015,,Educação,,05-21-2022
CLI0437,PJ,PI SOLUÇÕES SA,60.519.085/4327-16,pisolucõessa730@hotmail.com,,,AM,68113-633,2000-05-06,,Serviços,2786604,01-15-2020
CLI0377,PF,Juliana Costa,63217400391,julianacosta410@gmail.com,71968509056,Goiânia,GO,52672,09/07/1950,F,Médico,11408,23.07.2022
CLI0497,PF,isabela duarte,55005490809,isabeladuart315@uol.com.br,+55 11 98170-7762,Goiânia,GO,60788-256,23/04/1975,F,,R$ 3960,2025-07-26
CLI0088,PJ,Kappa Ventures SA,76.205.554/3840-46,kappaventure695@uol.com.br,+55 41 93502-7987,Campinas,SP,27271-311,06/07/1996,,Serviços,R$ 3395436,2026-01-26
CLI0206,PF,Gabriel Yazbek,  969.586.780-55  ,gabrielyazbe640@yahoo.com.br,71984684043,Aracaju,SE,26186-199,06/07/1997,Feminino,Contador,,15/05/2022
CLI0258,PJ,Delta Comércio SA,94.281.793/4065-27,deltacomerci317@yahoo.com.br,(81) 93436-3543,Palmas,TO,68840-229,02.07.1995,,Indústria,3464620,10-27-2020
CLI0173,PF,Anderson Dias,23767694591,andersondias149@yahoo.com.br,(61) 91178-6388,Macapá,AP,88879-317,14.04.1960,Feminino,Economista,,02-25-2021
CLI0409,PF,Denise Rezende,344.760.948-37,@invalido,71933339936,São Luís,MA,38859-375,10-17-1966,m,Analista,32125,07/02/2026
CLI0492,PF,Henrique Oliveira,  979.206.754-93  ,nao informado,,,PE,84718-651,1967-10-11,F,Empresário,16504,2025-02-21
CLI0030,PF,Natalia Teixeira,680.182.422-53,nataliateixe272@hotmail.com,+55 71 99938-5745,Cuiabá,MT,99783-515,1980-04-16,M,Jornalista,,25/10/2020
CLI0264,PF,Alessandra Nunes,  814.298.315-22  ,alessandranu877@gmail.com,51925382790,Porto Alegre,RS,93993-694,1984-11-06,M,Contador,40716,2022-10-16
CLI0018,PJ,tau serviços sa,70952145623285,tauservicoss78@hotmail.com,(41) 97511-6992,,BA,98188-866,05-14-2017,,Saúde,2575825,04-09-2024
CLI0475,PF,patricia rocha,87225578564,patriciaroch309@outlook.com,+55 85 91725-3545,Natal,RN,25408-895,,M,Economista,40146,2021-11-17
CLI0302,PF,Alessandra Nunes,,alessandranu249@yahoo.com.br,,Aracaju,RRJ,61968-747,08-14-1952,Feminino,Administrador,16465,2023-11-22
CLI0140,PF,Cintia Nogueira,150.835.354-44,cintianoguei867@hotmail.com,71970394210,Palmas,TO,11268-611,1968-10-30,F,Economista,32719,12-23-2023
CLI0141,PF,EDUARDO FERREIRA,90902259999,eduardoferre59@yahoo.com.br,(31)927332564,Teresina,PI,19012-498,01/01/2030,,Designer,R$ 20600,2022-04-25
CLI0041,PF,,  218.501.631-59  ,julianacosta966@yahoo.com.br,(51)970242778,Salvador,BA,21746-462,05.08.1956,Masculino,Arquiteto,12110,21.08.2023
CLI0516,PF,Cristina Pinto,270.650.761-22,cristinapint689@yahoo.com.br,(41) 94802-3242,Campo Grande,MS,33323,07-31-1954,Feminino,Arquiteto,2433,27.09.2022
CLI0265,PJ,Epsilon Serviços Ltda,37.221.556/6847-32,epsilonservi63@gmail.com,+55 85 92809-5705,São Luís,MA,79414,2011-05-23,,Serviços,2397618,24.09.2020
CLI0201,PF,Vinicius Moreira,834.374.018-27,viniciusmore749@outlook.com,,João Pessoa,PB,,13.02.1982,F,Advogado,30770,07/09/2025
CLI0371,PF,Rosana Figueiredo,93326724469,rosanafiguei231@hotmail.com,(31) 99081-3952,Recife,PE,39125-456,08/01/1964,Feminino,Técnico,38047,07.05.2023
CLI0508,PF,Jorge Oliveira,84233008056,jorgeoliveir7@gmail.com,(11)919308637,São Paulo,SP,30993-601,07/08/1989,F,Contador,R$ 21045,2024-10-26
CLI0153,PF,PAULO ABREU,129.208.751-02,pauloabreu523@hotmail.com,11935242818,Guarulhos,SP,38316-705,08.08.1996,,Empresário,39818,10.06.2021
CLI0267,PJ,Kappa Ventures SA,73680119236037,sem email,+55 62 98370-4425,Florianópolis,SC,90186-221,15.04.1990,,Transporte,R$ 4701722,2022-10-22
CLI0186,PF,Cristina Pinto,  458.438.458-81  ,,71961350116,Porto Alegre,RS,34173-775,03/02/1971,,Vendedor,R$ 3395,08-02-2020
CLI0410,PJ,Delta Comércio SA,,deltacomerci770@hotmail.com,21992186957,Campinas,SP,73696-801,25.07.2014,,Indústria,R$ 3261617,12/12/2022
CLI0024,PF,Cristina Pinto,  798.079.359-78  ,cristinapint742@uol.com.br,(61) 92335-3317,Campinas,SP,59372-758,,Masculino,Enfermeiro,6319,07/06/2021
CLI0337,PF,Camila Gomes,066.154.980-85,camilagomes549@outlook.com,+55 51 92797-9697,,MA,17666-498,06/07/1965,F,Administrador,9382,2023-06-05
CLI0307,PF,,221.010.232-00,joaosilva88@uol.com.br,+55 11 93265-4194,Recife,PE,87162-423,04/06/1984,Masculino,Designer,38243,04/02/2021
CLI0513,PF,MONIQUE ZANETTI,  033.878.852-85  ,moniquezanet701@yahoo.com.br,51915800202,Porto Alegre,RS,27752-494,13/07/1975,F,Jornalista,R$ 49710,11-07-2023
CLI0477,PJ,TAU SERVIÇOS SA,60707228834133,tauservicoss318@hotmail.com,(51)974395527,Maceió,,,06-20-2010,,Serviços,R$ 724201,2020-04-01
CLI0468,PF,Jorge Oliveira,951.452.058-02,jorgeoliveir996@uol.com.br,+55 71 91577-2536,Belo Horizonte,MG,56454-541,10-22-1985,f,,,22.06.2022
CLI0414,PF,Aline Barbosa,64523428644,alinebarbosa851@hotmail.com,(21) 96482-3909,Curitiba,PR,61129-261,06-26-1992,f,Professor,39542,05/10/2022
CLI0046,PF,Diego Sampaio,783.613.407-45,diegosampaio769@outlook.com,(51)943226234,Salvador,BA,85684-747,08/02/1965,Masculino,Administrador,35712,23.08.2024
CLI0452,PF,Brenda Peixoto,  499.799.052-21  ,brendapeixot97@hotmail.com,+55 61 97789-2693,São Luís,MA,38563-599,14/12/1968,,Jornalista,R$ 28632,08/09/2025
CLI0255,PF,Paulo Abreu,00838507659,pauloabreu202@gmail.com,51915622602,Fortaleza,,,04/10/1963,F,Enfermeiro,R$ 49936,13.09.2021
CLI0176,PF,Maria Oliveira,72812356798,mariaoliveir442@uol.com.br,81923128198,,CE,62781-280,1992-09-22,M,Administrador,38064,09.12.2025
CLI0164,PF,juliana costa,72863330212,julianacosta455@gmail.com,(31) 91983-1526,São Luís,MA,65524-796,1987-05-14,M,Arquiteto,R$ 36566,02-03-2025
CLI0272,PJ,Rho Sistemas Ltda,12694289464203,rhosistemasl474@gmail.com,51957603817,Vitória,,40025-838,04.12.2006,,Tecnologia,R$ 4531878,2023-10-24
CLI0429,PF,MARCELO AZEVEDO,756.569.764-87,marceloazeve769@outlook.com,81952892856,São Luís,MA,45296-987,2000-11-29,m,Designer,9199,20/06/2021
CLI0003,PF,ROBERTO KRAMER,814.893.252-88,robertokrame206@yahoo.com.br,(61) 98177-9479,Vitória,ES,87110-667,22.08.1992,M,Empresário,29730,21/06/2022
CLI0474,PF,Paulo Abreu,859.747.765-65,pauloabreu970@hotmail.com,(21) 96665-4448,Rio de Janeiro,RJ,24390-226,27.07.2000,Feminino,Médico,19408,30.10.2022
CLI0193,PF,ELAINE DOMINGUES,34776958741,elainedoming791@yahoo.com.br,(61) 97737-7412,São Luís,MA,38697-447,20.11.1993,f,Médico,35258,07-05-2020
CLI0347,PF,Felipe Cardoso,  734.467.177-62  ,felipecardos18@uol.com.br,+55 61 99852-7710,Natal,RN,32308-766,17.09.2002,,,5160,02-08-2023
CLI0381,PF,Vinicius Moreira,  718.222.667-94  ,viniciusmore653@yahoo.com.br,(51)945213597,Goiânia,GO,20190-658,06.03.1965,m,Jornalista,R$ 33560,18/12/2024
CLI0059,PF,Maria Oliveira,705.345.786-10,mariaoliveir699@gmail.com,+55 31 95135-6004,Vitória,ES,59345-972,03-24-1969,M,Enfermeiro,R$ 44702,2022-10-29
CLI0274,PF,Tatiana Borges,,tatianaborge812@yahoo.com.br,+55 11 92161-3018,Campinas,SP,48304-331,13.06.1975,f,Arquiteto,2201,10.12.2025
CLI0195,PF,thiago leal,47314976461,thiagoleal174@hotmail.com,,Belo Horizonte,MG,74673-358,28/10/1970,M,Engenheiro,23786,2023-10-15
CLI0230,PJ,Transportes Rápidos Ltda,01.168.809/2550-21,transportesr37@uol.com.br,(11)941899399,Recife,PE,55239-751,2007-06-05,,,R$ 3350814,19.09.2021
CLI0312,PF,Tatiana Borges,,tatianaborge258@yahoo.com.br,(85)940581711,Recife,PE,92656-970,1955-06-05,M,Empresário,30132,18/07/2021
CLI0352,PF,Rafael Santos,969.067.649-09,rafaelsantos853@yahoo.com.br,(11)918724926,Vitória,ES,,01.01.2030,F,Economista,38696,2024-01-11
CLI0402,PF,Rodrigo Castro,  197.979.724-52  ,rodrigocastr20@yahoo.com.br,+55 85 98081-1017,João Pessoa,PB,95285-992,1994-02-25,m,Médico,34654,2020-06-30
CLI0395,PF,sabrina ramos,  453.157.905-71  ,sabrinaramos249@outlook.com,21942797531,Vitória,ES,89098-468,26/05/1994,Feminino,Vendedor,2453,2022-09-17
CLI0294,PF,MURILO QUEIROZ,476.010.801-81,muriloqueiro521@gmail.com,(21) 95038-1882,Maceió,AL,,10/11/1982,F,Médico,9089,02.02.2023
CLI0506,PF,Felipe Cardoso,252.826.712-69,felipecardos802@hotmail.com,(71)953013368,Salvador,BA,53770-424,04-11-1972,Masculino,Analista,49818,16.08.2020
CLI0203,PF,Ligia Bernardes,555.809.961-32,ligiabernard884@outlook.com,(11) 93635-6226,Florianópolis,SC,97843-511,02.11.1987,M,Empresário,32469,08-11-2020
CLI0385,PF,Gustavo Araujo,,gustavoarauj279@uol.com.br,+55 21 95075-9483,Campinas,SP,62437-520,02-06-1957,m,Economista,20244,2022-03-20
CLI0408,PF,Gabriel Yazbek,731.868.302-91,gabrielyazbe126@yahoo.com.br,(62) 96844-9925,Campinas,SP,67927-103,01-01-2030,F,Professor,27185,2021-10-23
CLI0217,PF,Jorge Oliveira,59626228225,jorgeoliveir68@gmail.com,(81)951799545,Recife,PE,43667-231,04/03/1954,M,Arquiteto,12365,01-20-2026
CLI0405,PF,,  378.159.157-90  ,leandrofaria618@gmail.com,(61)986111173,Cuiabá,MT,22883-623,08.07.1951,M,Advogado,R$ 28158,18.04.2020
CLI0228,PF,Claudio Queiroga,03172351373,claudioqueir963@yahoo.com.br,+55 11 95556-4104,Cuiabá,MT,92121-809,09-19-2003,M,Designer,46590,2025-01-13
CLI0445,PF,Otavio Esteves,,otavioesteve801@hotmail.com,+55 85 99226-6638,Vitória,ES,17495-248,03-21-1961,M,Analista,46348,19.09.2022
CLI0118,PF,lucas pereira,  516.231.981-89  ,lucaspereira285@hotmail.com,+55 61 91570-1895,Macapá,,50536-754,,Masculino,Empresário,9403,26/01/2024
CLI0512,PF,Jorge Oliveira,379.830.457-62,jorgeoliveir470@outlook.com,(21)910943881,Teresina,PI,23871-858,26/05/1968,M,Técnico,,06.10.2022
CLI0314,PF,Fábio Vieira,026.015.153-25,fábiovieira694@uol.com.br,+55 51 92941-1049,Campinas,SP,14119-999,03.12.2002,Feminino,Designer,,07-05-2020
CLI0400,PF,,64799846058,adrianajardi519@outlook.com,(61)958113555,Florianópolis,SC,32563-360,16.08.1962,M,,29439,29/01/2023
CLI0235,PJ,Beta Soluções Ltda,63301658373792,betasolucões203@yahoo.com.br,85920170987,Belo Horizonte,MG,,16.04.2001,,Logística,613939,08-15-2024
